chinukh,smk,rambam,smg,mishneh,shulchanArukh,pasuk
459,[117],"[u'Negative Commandments', 19]","[u'Negative Commandments', 29]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 5:4']",[],[u'Deuteronomy 13:9']
460,[117],"[u'Negative Commandments', 20]","[u'Negative Commandments', 30]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 5:4']",[],[u'Deuteronomy 13:19']
461,[117],"[u'Negative Commandments', 21]",[31],"[u'Mishneh Torah, Foreign Worship and Customs of the Nations 5:4']",[],[u'Deuteronomy 13:19']
462,[116],"[u'Negative Commandments', 16]","[u'Negative Commandments', 26]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 5']",[],[u'Deuteronomy 13:7-12']
463,[],"[u'Positive Commandments', 179]","[u'Positive Commandments', 109]","[u'Mishneh Torah, Testimony 1']","[u'Shulchan Arukh, Choshen Mishpat 30']",[u'Deuteronomy 13:15']
464,[],"[u'Positive Commandments', 186]","[u'Positive Commandments', 15]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 4']",[],[u'Deuteronomy 13:17']
465,[],"[u'Negative Commandments', 23]","[u'Negative Commandments', 204]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 4:8']",[],[u'Deuteronomy 13:17']
466,[],"[u'Negative Commandments', 24]","[u'Negative Commandments', 205]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 4:7']",[],[u'Deuteronomy 13:17']
467,"[74, 75]","[u'Negative Commandments', 45]","[u'Negative Commandments', 62]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 12']","[u""Shulchan Arukh, Yoreh De'ah 180""]",[u'Deuteronomy 14:1']
468,[73],"[u'Negative Commandments', 171]","[u'Negative Commandments', 63]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 12:15']","[u""Shulchan Arukh, Yoreh De'ah 180""]",[u'Deuteronomy 14:1']
469,[],"[u'Negative Commandments', 140]",[31],"[u'Mishneh Torah, Sacrifices Rendered Unfit 18:3-5']",[],[u'Deuteronomy 14:3']
470,[],"[u'Positive Commandments', 150]","[u'Positive Commandments', 60]",[],"[u""Shulchan Arukh, Yoreh De'ah 82""]",[u'Deuteronomy 14:11']
471,[209],"[u'Negative Commandments', 175]","[u'Negative Commandments', 130]",[],"[u""Shulchan Arukh, Yoreh De'ah 81""]",[u'Deuteronomy 14:19']
472,[202],"[u'Negative Commandments', 180]","[u'Negative Commandments', 133]",[],"[u""Shulchan Arukh, Yoreh De'ah 15""]",[u'Deuteronomy 14:21']
473,[],"[u'Positive Commandments', 128]","[u'Positive Commandments', 136]","[u""Mishneh Torah, Second Tithes and Fourth Year's Fruit""]","[u""Shulchan Arukh, Yoreh De'ah 331""]",[u'Deuteronomy']
474,[],"[u'Positive Commandments', 130]","[u'Positive Commandments', 161]","[u'Mishneh Torah, Gifts to the Poor 6']",,[u'Deuteronomy 14:28']
475,[258],"[u'Negative Commandments', 230]","[u'Negative Commandments', 270]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 9:1']","[u'Shulchan Arukh, Choshen Mishpat 67']",[u'Deuteronomy 15:2']
476,[],"[u'Positive Commandments', 142]",[],"[u'Mishneh Torah, Creditor and Debtor 1:2']",[],[u'Deuteronomy 15:3']
477,[258],"[u'Positive Commandments', 141]","[u'Positive Commandments', 149]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 9']","[u'Shulchan Arukh, Choshen Mishpat 67']",[u'Deuteronomy 15:2']
478,[257],"[u'Negative Commandments', 232]","[u'Negative Commandments', 289]","[u'Mishneh Torah, Gifts to the Poor 7-10']","[u""Shulchan Arukh, Yoreh De'ah 247""]",[u'Deuteronomy 15:7']
479,[256],"[u'Positive Commandments', 195]","[u'Positive Commandments', 192]","[u'Mishneh Torah, Gifts to the Poor 7-10']","[u""Shulchan Arukh, Yoreh De'ah 247-259""]",[u'Deuteronomy 15:18']
480,[257],"[u'Negative Commandments', 231]","[u'Negative Commandments', 271]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 9:30']",[],[u'Deuteronomy 15:9']
481,[],"[u'Negative Commandments', 233, u'Positive Commandments', 196]","[u'Negative Commandments', 178]","[u'Mishneh Torah, Slaves 3']",[],[u'Deuteronomy 15:13']
482,[],"[u'Positive Commandments', 196]","[u'Positive Commandments', 84]","[u'Mishneh Torah, Slaves 3']",[],[u'Deuteronomy 15:14']
483,[],"[u'Negative Commandments', 113]","[u'Negative Commandments', 340]","[u'Mishneh Torah, Trespass 1:7-13']",[],[u'Deuteronomy 15:19']
484,[],"[u'Negative Commandments', 114]","[u'Negative Commandments', 341]","[u'Mishneh Torah, Trespass 1:7-13']",[],[u'Deuteronomy 15:19']
485,[],"[u'Negative Commandments', 199]",[],"[u'Mishneh Torah, Leavened and Unleavened Bread 1:8']",[],[u'Deuteronomy 16:3']
486,[],"[u'Negative Commandments', 119]","[u'Negative Commandments', 349]","[u'Mishneh Torah, Paschal Offering 10:13']",[],[u'Deuteronomy 16:4']
487,[],[],[],[],[],[u'Deuteronomy 16']
488,[],"[u'Positive Commandments', 54]","[u'Positive Commandments', 229]","[u'Mishneh Torah, Festival Offering 1']","[u'Shulchan Arukh, Orach Chayim 529']",[u'Deuteronomy 16:14']
489,[],"[u'Positive Commandments', 53]","[u'Positive Commandments', 228]","[u'Mishneh Torah, Festival Offering 1']",[],[u'Deuteronomy 16:16']
490,[],"[u'Negative Commandments', 156]","[u'Negative Commandments', 380]","[u'Mishneh Torah, Festival Offering 1']",[],[u'Deuteronomy 16:16']
491,[],"[u'Positive Commandments', 176]","[u'Positive Commandments', 97]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 1']","[u'Shulchan Arukh, Choshen Mishpat 1']",[u'Deuteronomy 16:18']
492,[163],"[u'Negative Commandments', 11]","[u'Negative Commandments', 44]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 6:9-10']",[],[u'Deuteronomy 16:21']
493,[163],"[u'Negative Commandments', 11]","[u'Negative Commandments', 41]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 6:10']","[u""Shulchan Arukh, Yoreh De'ah 145""]",[u'Deuteronomy 16:22']
494,[],"[u'Negative Commandments', 95]",[],"[u'Mishneh Torah, Things Forbidden on the Altar 1']",[],[u'Deuteronomy 17:1']
495,[],"[u'Positive Commandments', 174]","[u'Positive Commandments', 111]","[u'Mishneh Torah, Rebels 1-5']","[u'Shulchan Arukh, Choshen Mishpat 14']",[u'Deuteronomy 17:10-11']
496,[],"[u'Negative Commandments', 312]","[u'Negative Commandments', 217]","[u'Mishneh Torah, Rebels 1-5']","[u'Shulchan Arukh, Choshen Mishpat 14']",[u'Deuteronomy 17:11']
497,[],"[u'Positive Commandments', 173]","[u'Positive Commandments', 114]","[u'Mishneh Torah, Kings and Wars 1']",[],[u'Deuteronomy 17:15']
498,[],"[u'Negative Commandments', 362]","[u'Negative Commandments', 221]","[u'Mishneh Torah, Kings and Wars 1:4']",[],[u'Deuteronomy 17:15']
499,[],"[u'Negative Commandments', 363]","[u'Negative Commandments', 223]","[u'Mishneh Torah, Kings and Wars 3:3']",[],[u'Deuteronomy 17:16']
500,[],"[u'Negative Commandments', 46]","[u'Negative Commandments', 227]","[u'Mishneh Torah, Kings and Wars 5:7-8']",[],[u'Deuteronomy 17:16']
501,[],"[u'Negative Commandments', 364]","[u'Negative Commandments', 222]","[u'Mishneh Torah, Kings and Wars 3:2']",[],[u'Deuteronomy 17:17']
502,[],"[u'Negative Commandments', 365]","[u'Negative Commandments', 224]","[u'Mishneh Torah, Kings and Wars 3:4']",[],[u'Deuteronomy 17:17']
503,[],"[u'Positive Commandments', 17]","[u'Positive Commandments', 25]",[],[],[u'Deuteronomy 17:18']
504,[],"[u'Negative Commandments', 169]","[u'Negative Commandments', 276]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 13:10-12']",[],[u'Deuteronomy 18:2']
505,[],"[u'Negative Commandments', 170]","[u'Negative Commandments', 277]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 13:10-12']",[],[u'Deuteronomy 18:1']
506,[],"[u'Positive Commandments', 143]","[u'Positive Commandments', 143]","[u'Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary 9']","[u""Shulchan Arukh, Yoreh De'ah 61""]",[u'Deuteronomy 18:3']
507,[],[],"[u'Positive Commandments', 133]","[u'Mishneh Torah, Heave Offerings']","[u""Shulchan Arukh, Yoreh De'ah 331""]",[u'Deuteronomy 18:4']
508,[],"[u'Positive Commandments', 144]","[u'Positive Commandments', 143]","[u'Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary 10']","[u""Shulchan Arukh, Yoreh De'ah 333""]",[u'Deuteronomy 18:4']
509,[],"[u'Positive Commandments', 36]","[u'Positive Commandments', 172]","[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 4']",[],[u'Deuteronomy 18:6']
510,[138],"[u'Negative Commandments', 31]","[u'Negative Commandments', 52]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 11:6-7']","[u""Shulchan Arukh, Yoreh De'ah 179""]",[u'Deuteronomy 18:10']
511,[41],"[u'Negative Commandments', 34]","[u'Negative Commandments', 52]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 11:15']","[u""Shulchan Arukh, Yoreh De'ah 179""]",[u'Deuteronomy 18:10']
512,[141],"[u'Negative Commandments', 35]","[u'Negative Commandments', 54]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 11:10-12']","[u""Shulchan Arukh, Yoreh De'ah 179""]",[u'Deuteronomy 18:10-11']
513,[],"[u'Negative Commandments', 36]","[u'Negative Commandments', 36]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 11:14']","[u""Shulchan Arukh, Yoreh De'ah 179""]",[u'Deuteronomy 18:10-11']
514,[],"[u'Negative Commandments', 37]","[u'Negative Commandments', 37]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 11:14']","[u""Shulchan Arukh, Yoreh De'ah 179""]",[u'Deuteronomy 18:10-11']
515,[142],"[u'Negative Commandments', 38]","[u'Negative Commandments', 40]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 11:13']","[u""Shulchan Arukh, Yoreh De'ah 179""]",[u'Deuteronomy 18:10-11']
516,[25],"[u'Positive Commandments', 172]","[u'Positive Commandments', 6]","[u'Mishneh Torah, Foundations of the Torah 7-10']",[],[u'Deuteronomy 18:15']
517,[115],"[u'Negative Commandments', 27]","[u'Negative Commandments', 34]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 5:7-9']",[],[u'Deuteronomy 18:20']
518,[114],"[u'Negative Commandments', 26]","[u'Negative Commandments', 32]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 5:6-7']",[],[]
519,[13],"[u'Negative Commandments', 29]","[u'Negative Commandments', 35]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 5:9']",[],[u'Deuteronomy 18:22']
520,[],"[u'Positive Commandments', 182]","[u'Positive Commandments', 76]","[u'Mishneh Torah, Murderer and the Preservation of Life 8']",[],[u'Deuteronomy 19:2']
521,[237],"[u'Negative Commandments', 279]","[u'Negative Commandments', 202]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 20:4']",[],[u'Deuteronomy 19:13']
522,[],"[u'Negative Commandments', 246]","[u'Negative Commandments', 153]","[u'Mishneh Torah, Theft 7:11']","[u'Shulchan Arukh, Choshen Mishpat 376']",[u'Deuteronomy 19:14']
523,[],"[u'Negative Commandments', 288]","[u'Negative Commandments', 213]","[u'Mishneh Torah, Testimony 5']","[u'Shulchan Arukh, Choshen Mishpat 28']",[u'Deuteronomy 19:15']
524,[],"[u'Positive Commandments', 180]","[u'Positive Commandments', 110]","[u'Mishneh Torah, Testimony 18-22']","[u'Shulchan Arukh, Choshen Mishpat 38']",[u'Deuteronomy 19:19']
525,[],"[u'Negative Commandments', 58]","[u'Negative Commandments', 231]","[u'Mishneh Torah, Kings and Wars 7:15']",[],[u'Deuteronomy 20:3']
526,[],"[u'Positive Commandments', 191]","[u'Positive Commandments', 120]","[u'Mishneh Torah, Kings and Wars 7']",[],[u'Deuteronomy 20:2']
527,[],"[u'Positive Commandments', 190]","[u'Positive Commandments', 118]","[u'Mishneh Torah, Kings and Wars 6']",[],[u'Deuteronomy 20:10']
528,[],"[u'Negative Commandments', 49]","[u'Negative Commandments', 225]","[u'Mishneh Torah, Kings and Wars 7']",[],[u'Deuteronomy 20:16']
529,[175],"[u'Negative Commandments', 57]","[u'Negative Commandments', 229]","[u'Mishneh Torah, Kings and Wars 6']",[],[u'Deuteronomy 20:19']
530,[],"[u'Positive Commandments', 181]","[u'Positive Commandments', 78]","[u'Mishneh Torah, Murderer and the Preservation of Life 9-10']",[],[u'Deuteronomy 21:1']
531,[],"[u'Negative Commandments', 309]","[u'Negative Commandments', 160]","[u'Mishneh Torah, Murderer and the Preservation of Life 10:9']",[],[u'Deuteronomy 21:4']
532,[],"[u'Positive Commandments', 221]","[u'Positive Commandments', 122]","[u'Mishneh Torah, Kings and Wars 8']",[],[u'Deuteronomy 21:10-11']
533,[],"[u'Negative Commandments', 263]","[u'Negative Commandments', 233]","[u'Mishneh Torah, Kings and Wars 8:6']",[],[u'Deuteronomy 21:14']
534,[],"[u'Negative Commandments', 264]","[u'Negative Commandments', 234]","[u'Mishneh Torah, Kings and Wars 8:6']",[],[u'Deuteronomy 21:14']
535,[],"[u'Positive Commandments', 230]","[u'Positive Commandments', 103]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 15']",[],[u'Deuteronomy 21:22']
536,[],"[u'Negative Commandments', 66]","[u'Negative Commandments', 194]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 15:8']","[u""Shulchan Arukh, Yoreh De'ah 357""]",[u'Deuteronomy 21:23']
537,[],"[u'Positive Commandments', 231]","[u'Positive Commandments', 104]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 15:8']",[],[u'Deuteronomy 21:23']
538,[251],"[u'Positive Commandments', 204]","[u'Positive Commandments', 74]","[u'Mishneh Torah, Robbery and Lost Property 11']","[u'Shulchan Arukh, Choshen Mishpat 259']",[u'Deuteronomy 22:1']
539,[76],"[u'Negative Commandments', 269]","[u'Negative Commandments', 159]","[u'Mishneh Torah, Robbery and Lost Property 11']","[u'Shulchan Arukh, Choshen Mishpat 259']",[u'Deuteronomy 22:1-3']
540,[77],"[u'Negative Commandments', 270]","[u'Negative Commandments', 169]","[u'Mishneh Torah, Murderer and the Preservation of Life 13']","[u'Shulchan Arukh, Choshen Mishpat 272']",[u'Deuteronomy 22:4']
541,[54],"[u'Positive Commandments', 203]","[u'Positive Commandments', 61]","[u'Mishneh Torah, Murderer and the Preservation of Life 13']","[u'Shulchan Arukh, Choshen Mishpat 272']",[u'Deuteronomy 22:4']
542,[33],"[u'Negative Commandments', 39]","[u'Negative Commandments', 59]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 12:10']","[u""Shulchan Arukh, Yoreh De'ah 182""]",[u'Deuteronomy 21:5']
543,[33],"[u'Negative Commandments', 40]","[u'Negative Commandments', 60]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 12:10']","[u""Shulchan Arukh, Yoreh De'ah 182""]",[u'Deuteronomy 21:5']
544,[274],"[u'Negative Commandments', 306]","[u'Negative Commandments', 150]","[u'Mishneh Torah, Ritual Slaughter 13']","[u""Shulchan Arukh, Yoreh De'ah 292""]",[u'Deuteronomy 22:6']
545,[250],[],"[u'Positive Commandments', 65]","[u'Mishneh Torah, Ritual Slaughter 13']","[u""Shulchan Arukh, Yoreh De'ah 292""]",[u'Deuteronomy 22:7']
546,[152],"[u'Positive Commandments', 184]","[u'Positive Commandments', 79]","[u'Mishneh Torah, Murderer and the Preservation of Life 11']","[u'Shulchan Arukh, Choshen Mishpat 427']",[u'Deuteronomy 22:8']
547,[171],"[u'Negative Commandments', 298]","[u'Negative Commandments', 167]","[u'Mishneh Torah, Murderer and the Preservation of Life 11']","[u'Shulchan Arukh, Choshen Mishpat 427']",[u'Deuteronomy 22:8']
548,[168],"[u'Negative Commandments', 216]","[u'Negative Commandments', 280]","[u'Mishneh Torah, Diverse Species 5']","[u""Shulchan Arukh, Yoreh De'ah 296""]",[u'Deuteronomy 22:9']
549,[216],"[u'Negative Commandments', 193]","[u'Negative Commandments', 145]",[],"[u""Shulchan Arukh, Yoreh De'ah 296""]",[u'Deuteronomy 22:9']
550,[170],"[u'Negative Commandments', 218]","[u'Negative Commandments', 282]","[u'Mishneh Torah, Diverse Species 9:7']","[u""Shulchan Arukh, Yoreh De'ah 297""]",[u'Deuteronomy 22:10']
551,[32],"[u'Negative Commandments', 42]","[u'Negative Commandments', 283]","[u'Mishneh Torah, Diverse Species 10']","[u""Shulchan Arukh, Yoreh De'ah 298""]",[u'Deuteronomy 22:11']
552,[183],"[u'Positive Commandments', 213]","[u'Positive Commandments', 41]","[u'Mishneh Torah, Marriage 1']","[u'Shulchan Arukh, Even HaEzer 26']",[u'Deuteronomy 22:13']
553,[],"[u'Positive Commandments', 219]","[u'Positive Commandments', 55]","[u'Mishneh Torah, Virgin Maiden 3']",[],[u'Deuteronomy 22:19']
554,[],"[u'Negative Commandments', 359]","[u'Negative Commandments', 86]","[u'Mishneh Torah, Virgin Maiden 3']",[],[u'Deuteronomy 22:19']
555,[],"[u'Positive Commandments', 229]","[u'Positive Commandments', 102]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 15']",[],[u'Deuteronomy 22:24']
556,[],"[u'Negative Commandments', 294]","[u'Negative Commandments', 201]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 20:2']",[],[u'Deuteronomy 22:26']
557,[182],"[u'Positive Commandments', 218]","[u'Positive Commandments', 54]","[u'Mishneh Torah, Virgin Maiden 1']","[u'Shulchan Arukh, Even HaEzer 177']",[u'Deuteronomy 22:29']
558,[187],"[u'Negative Commandments', 358]","[u'Negative Commandments', 84]","[u'Mishneh Torah, Virgin Maiden 1']","[u'Shulchan Arukh, Even HaEzer 177']",[u'Deuteronomy 22:29']
559,"[297, 298]","[u'Negative Commandments', 360]",[],"[u'Mishneh Torah, Forbidden Intercourse 16']","[u'Shulchan Arukh, Even HaEzer 5']",[u'Deuteronomy 23:2']
560,[295],"[u'Negative Commandments', 354]","[u'Negative Commandments', 117]","[u'Mishneh Torah, Forbidden Intercourse 15']","[u'Shulchan Arukh, Even HaEzer 4']",[u'Deuteronomy 23:3']
561,[],"[u'Negative Commandments', 53]","[u'Negative Commandments', 113]","[u'Mishneh Torah, Forbidden Intercourse 12']","[u'Shulchan Arukh, Even HaEzer 4']",[u'Deuteronomy 23:4']
562,[],"[u'Negative Commandments', 56]","[u'Negative Commandments', 228]","[u'Mishneh Torah, Kings and Wars 6']",[],[u'Deuteronomy 23:7']
563,[],"[u'Negative Commandments', 54]","[u'Negative Commandments', 115]","[u'Mishneh Torah, Forbidden Intercourse 12']","[u'Shulchan Arukh, Even HaEzer 4']",[u'Deuteronomy 23:8']
564,[],"[u'Negative Commandments', 55]","[u'Negative Commandments', 116]","[u'Mishneh Torah, Forbidden Intercourse 12']","[u'Shulchan Arukh, Even HaEzer 4']",[u'Deuteronomy 23:8-9']
565,[],"[u'Negative Commandments', 78]",[31],"[u'Mishneh Torah, Admission into the Sanctuary 3']",[],[u'Deuteronomy 23:11']
566,[],"[u'Positive Commandments', 192]","[u'Positive Commandments', 119]","[u'Mishneh Torah, Kings and Wars 6']",[],[u'Deuteronomy 23:13']
567,[],"[u'Positive Commandments', 193]","[u'Positive Commandments', 119]","[u'Mishneh Torah, Kings and Wars 6']",[],[u'Deuteronomy 23:14']
568,[],"[u'Negative Commandments', 254]",[u'Negative Commandments'],"[u'Mishneh Torah, Slaves 8']","[u""Shulchan Arukh, Yoreh De'ah 267""]",[u'Deuteronomy 23:16']
569,[],"[u'Negative Commandments', 255]",[u'Negative Commandments'],"[u'Mishneh Torah, Slaves 8']","[u""Shulchan Arukh, Yoreh De'ah 267""]","[[u'Deuteronomy'], [u'Deuteronomy 23:17']]"
570,[],"[u'Negative Commandments', 355]",[],"[u'Mishneh Torah, Marriage 1:4']","[u'Shulchan Arukh, Even HaEzer 26:1']",[u'Deuteronomy 23:18']
571,[],"[u'Negative Commandments', 100]","[u'Negative Commandments', 316]","[u'Mishneh Torah, Things Forbidden on the Altar 3:7']","[u'Shulchan Arukh, Orach Chayim']",[u'Deuteronomy 23:19']
572,[],"[u'Negative Commandments', 236]","[u'Negative Commandments', 192]","[u'Mishneh Torah, Creditor and Debtor 4']","[u""Shulchan Arukh, Yoreh De'ah 160""]",[u'Deuteronomy 23:20']
573,[],"[u'Positive Commandments', 198]",[31],"[u'Mishneh Torah, Creditor and Debtor 5']",[],[u'Deuteronomy 23:21']
574,[],"[u'Negative Commandments', 155]","[u'Negative Commandments', 331]","[u'Mishneh Torah, Sacrificial Procedure 14']","[u""Shulchan Arukh, Yoreh De'ah 257""]",[u'Deuteronomy 23:22']
575,[],"[u'Positive Commandments', 94]","[u'Positive Commandments', 124]","[u'Mishneh Torah, Vows']",,[u'Deuteronomy 23:24']
576,[272],"[u'Positive Commandments', 201]","[u'Positive Commandments', 91]","[u'Mishneh Torah, Hiring 12']","[u'Shulchan Arukh, Choshen Mishpat 337']",[u'Deuteronomy 23:25']
577,[272],"[u'Negative Commandments', 268]","[u'Negative Commandments', 182]","[u'Mishneh Torah, Hiring 12:3']","[u'Shulchan Arukh, Choshen Mishpat 337']",[u'Deuteronomy 23:25']
578,[273],"[u'Negative Commandments', 267]","[u'Negative Commandments', 183]","[u'Mishneh Torah, Hiring 12:3']","[u'Shulchan Arukh, Choshen Mishpat 337']",[u'Deuteronomy 23:26']
579,[189],"[u'Positive Commandments', 222]","[u'Positive Commandments', 50]","[u'Mishneh Torah, Divorce 1-10']","[u'Shulchan Arukh, Even HaEzer 119']",[u'Deuteronomy 24:1']
580,[189],"[u'Negative Commandments', 356]","[u'Negative Commandments', 82]","[u'Mishneh Torah, Divorce 11-12']","[u'Shulchan Arukh, Even HaEzer 10']",[u'Deuteronomy 24:4']
581,[],"[u'Negative Commandments', 311]","[u'Negative Commandments', 230]","[u'Mishneh Torah, Kings and Wars 7:5-13']",[],[u'Deuteronomy 24:5']
582,[],"[u'Positive Commandments', 214]","[u'Positive Commandments', 121]","[u'Mishneh Torah, Kings and Wars 7:5-13']",[],[u'Deuteronomy 24:5']
583,"[268, 269]","[u'Negative Commandments', 242]",[],"[u'Mishneh Torah, Creditor and Debtor 3']","[u'Shulchan Arukh, Choshen Mishpat 97']",[u'Deuteronomy 4:6']
584,[],"[u'Negative Commandments', 308]","[u'Negative Commandments', 363]","[u'Mishneh Torah, Defilement by Leprosy 10']",[],[u'Deuteronomy 24:8']
585,[265],"[u'Negative Commandments', 239]","[u'Negative Commandments', 186]","[u'Mishneh Torah, Creditor and Debtor 3']","[u'Shulchan Arukh, Choshen Mishpat 97']",[u'Deuteronomy 24:10']
586,[266],"[u'Negative Commandments', 240]","[u'Negative Commandments', 187]","[u'Mishneh Torah, Creditor and Debtor 3']","[u'Shulchan Arukh, Choshen Mishpat 97']",[u'Deuteronomy 24:12']
587,[266],"[u'Positive Commandments', 199]","[u'Positive Commandments', 94]","[u'Mishneh Torah, Creditor and Debtor 3']","[u'Shulchan Arukh, Choshen Mishpat 97']",[u'Deuteronomy 24:13']
588,[],"[u'Positive Commandments', 200]","[u'Positive Commandments', 90]","[u'Mishneh Torah, Hiring 11']","[u'Shulchan Arukh, Choshen Mishpat 339']",[u'Deuteronomy 24:15']
589,[234],"[u'Negative Commandments', 287]","[u'Negative Commandments', 215]","[u'Mishneh Torah, Testimony 13']","[u'Shulchan Arukh, Choshen Mishpat 33']",[u'Deuteronomy 24:16']
590,[],"[u'Negative Commandments', 280]","[u'Negative Commandments', 206]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 20:12']",[],[u'Deuteronomy 24:17']
591,[265],"[u'Negative Commandments', 241]","[u'Negative Commandments', 188]","[u'Mishneh Torah, Creditor and Debtor 3']","[u'Shulchan Arukh, Choshen Mishpat 97']",[u'Deuteronomy 24:17']
592,[],"[u'Positive Commandments', 122]","[u'Positive Commandments', 158]","[u'Mishneh Torah, Gifts to the Poor 5']","[u""Shulchan Arukh, Yoreh De'ah 331""]",[u'Deuteronomy 24:19']
593,[],"[u'Negative Commandments', 214]","[u'Negative Commandments', 288]","[u'Mishneh Torah, Gifts to the Poor 5']","[u""Shulchan Arukh, Yoreh De'ah 331""]",[u'Deuteronomy 24:19']
594,[],"[u'Positive Commandments', 224]","[u'Positive Commandments', 105]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 16']",[],[u'Deuteronomy 25:2']
595,[84],"[u'Negative Commandments', 300]","[u'Negative Commandments', 199]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 16']","[u'Shulchan Arukh, Choshen Mishpat 420']",[u'Deuteronomy 25:3']
596,[369],"[u'Negative Commandments', 219]","[u'Negative Commandments', 184]","[u'Mishneh Torah, Hiring 13']","[u'Shulchan Arukh, Choshen Mishpat 338']",[u'Deuteronomy 25:4']
597,[188],"[u'Negative Commandments', 357]","[u'Negative Commandments', 83]","[u'Mishneh Torah, Levirate Marriage and Release 2']","[u'Shulchan Arukh, Even HaEzer 159']",[u'Deuteronomy 25:5']
598,[186],"[u'Positive Commandments', 216]","[u'Positive Commandments', 51]","[u'Mishneh Torah, Levirate Marriage and Release']","[u'Shulchan Arukh, Even HaEzer 156']",[u'Deuteronomy 25:5']
599,[185],"[u'Positive Commandments', 217]","[u'Positive Commandments', 52]","[u'Mishneh Torah, Levirate Marriage and Release']","[u'Shulchan Arukh, Even HaEzer 169']",[u'Deuteronomy 25:7-9']
600,[],"[u'Positive Commandments', 247]","[u'Positive Commandments', 77]","[u'Mishneh Torah, Murderer and the Preservation of Life 1']","[u'Shulchan Arukh, Choshen Mishpat 425']",[u'Deuteronomy 25:12']
601,[],"[u'Negative Commandments', 293]","[u'Negative Commandments', 164]","[u'Mishneh Torah, Murderer and the Preservation of Life 1']","[u'Shulchan Arukh, Choshen Mishpat 425']",[u'Deuteronomy 25:12']
602,[275],"[u'Negative Commandments', 272]","[u'Negative Commandments', 122]","[u'Mishneh Torah, Theft 7']","[u'Shulchan Arukh, Choshen Mishpat 231']",[u'Deuteronomy 25:13-14']
603,[147],"[u'Positive Commandments', 189]","[u'Positive Commandments', 115]","[u'Mishneh Torah, Kings and Wars 5:5']","[u'Shulchan Arukh, Orach Chayim 685']",[u'Deuteronomy 25:17']
604,[],"[u'Positive Commandments', 188]","[u'Positive Commandments', 115]","[u'Mishneh Torah, Kings and Wars 5:5']",[],[u'Deuteronomy 25:19']
605,[],"[u'Negative Commandments', 59]","[u'Negative Commandments', 116]","[u'Mishneh Torah, Kings and Wars 5:8']",[],[u'Deuteronomy 25:19']
606,[],"[u'Positive Commandments', 132]","[u'Positive Commandments', 140]","[u'Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary 3']",[],[u'Deuteronomy 26:3']
607,[],"[u'Positive Commandments', 131]","[u'Positive Commandments', 138]","[u""Mishneh Torah, Second Tithes and Fourth Year's Fruit""]",[],[u'Deuteronomy 26:13']
608,[],"[u'Negative Commandments', 152]","[u'Negative Commandments', 263]","[u""Mishneh Torah, Second Tithes and Fourth Year's Fruit""]",[],[u'Deuteronomy 26:14']
609,[],"[u'Negative Commandments', 150]","[u'Negative Commandments', 259]","[u""Mishneh Torah, Second Tithes and Fourth Year's Fruit""]",[],[u'Deuteronomy 26:14']
